stage,label,url
1,COBOL Fundamentals,https://wd103.myworkday.com/accenture/learning/course/8fdaf669dfdb102428896969fe1e0008?type=9882927d138b100019b928e75843018d
1,CICS Fundamentals,https://wd103.myworkday.com/accenture/learning/course/8fdaf669dfdb1024288a435c72d40005?type=9882927d138b100019b928e75843018d
1,JCL Fundamentals,https://teams.microsoft.com/l/message/19:meeting_Yjg3N2MwMTEtNjUzNy00NGJhLWIzMzItZWZiZGI1YWNiODg3@thread.v2/1782809711325?context=%7B%22contextType%22%3A%22chat%22%7D
2,IBM Z Explore,https://wd103.myworkday.com/accenture/learning/course/adac7f0047d710034410e6c940d40000?type=9882927d138b100019b928e75843018d&metadataEntryPoint=%2Faccenture%2Flearning
2,IBM DB2,https://teams.microsoft.com/l/message/19:meeting_Yjg3N2MwMTEtNjUzNy00NGJhLWIzMzItZWZiZGI1YWNiODg3@thread.v2/1782812744808?context=%7B%22contextType%22%3A%22chat%22%7D
3,Brocade CSOD,https://brocade.csod.com/LMS/UserTranscript/ILTSessionView.aspx?qs=%5e%5e%5eS2Ryn0%2fiNHw3%2fcp%2fqew1cPzXfg7jVav8uHyyyP%2ftyacVh8s%2bGsRbIgCWmyQAxyqQxRSdDbI1FZESNPMroMY2SGzHHq2uhBEz8vrB8Ya2zy1KjZ8n21wKYV%2fzYQrph0nq
3,MF Z17,https://wd103.myworkday.com/accenture/learning/course/2a47b1231c3f100131233ec2bc1e0000
3,MF AI,https://wd103.myworkday.com/accenture/learning/course/ab74fd8dc0cf1001313f969af5860000?type=9882927d138b100019b928e75843018d
3,MF DevOps,https://www.ibm.com/training/course/mainframe-build-in-a-devops-pipeline-with-ibm-dependency-based-build-DL00665G
