day,month,title,desc,type,time,accentColor
25,Jun 2026,IBM AI on Mainframe Solutions,"Target: Management level 8+ | Dates: June 25 (EST) | June 30 (IST) | August 4 (CET)",Workshop,TBC,#dc2626
14,Jul 2026,Mainframe Workshop: Reinvent Engineering & Operations,"Target: Open to all management levels | Dates: July 14 (CET) | August 5 (EST)",Workshop,TBC,#dc2626
28,Jul 2026,IBM watsonx Code Assistant for Z,"Target: Open to all management levels | Dates: July 28 (EST) | July 30 (IST) | Aug 13 (EST) | Aug 20 (CET) | Aug 27 (PHST)",Workshop,TBC,#dc2626
11,Aug 2026,Mainframe Workshop: Reinvent Business & Architecture,"Target: Management level 9+ | Date: August 11 (IST)",Workshop,TBC,#dc2626
6,Aug 2026,MLz and DB2 v13 Set-up and Configuration,"Target: Open to all management levels | Date: August 6 (IST)",Workshop,TBC,#dc2626
18,Aug 2026,Mainframe Workshop: Reinvent Mainframe Sales Motions,"Target: Management level 8+ | Date: August 18 (EST)",Workshop,TBC,#dc2626
25,Aug 2026,IBM IT Economics - Workshop,"Target: Open to all management levels | Date: August 25 (EST)",Workshop,TBC,#dc2626
